Water Control Zone,Station,Dates,num,Sample No,Depth,E. coli (cfu/100mL)
Victoria Harbour,VM1,1988/1/27,1,1,Middle Water,2000
Victoria Harbour,VM1,1988/2/10,2,1,Middle Water,2300
Victoria Harbour,VM1,1988/2/24,3,1,Middle Water,1000
Victoria Harbour,VM1,1988/3/9,4,1,Middle Water,6300
Victoria Harbour,VM1,1988/3/23,5,1,Middle Water,3000
Victoria Harbour,VM1,1988/4/6,6,1,Middle Water,1000
Victoria Harbour,VM1,1988/4/21,7,1,Middle Water,7900
Victoria Harbour,VM1,1988/5/4,8,1,Middle Water,2600
Victoria Harbour,VM1,1988/5/18,9,1,Middle Water,2400
Victoria Harbour,VM1,1988/6/1,10,1,Middle Water,5000
Victoria Harbour,VM1,1988/6/15,11,1,Middle Water,19000
Victoria Harbour,VM1,1988/6/29,12,1,Middle Water,5900
Victoria Harbour,VM1,1988/7/13,13,1,Middle Water,7300
Victoria Harbour,VM1,1988/7/27,14,1,Middle Water,8200
Victoria Harbour,VM1,1988/8/10,15,1,Middle Water,2700
Victoria Harbour,VM1,1988/8/24,16,1,Middle Water,7400
Victoria Harbour,VM1,1988/9/7,17,1,Middle Water,3700
Victoria Harbour,VM1,1988/9/21,18,1,Middle Water,2000
Victoria Harbour,VM1,1988/10/5,19,1,Middle Water,4600
Victoria Harbour,VM1,1988/10/18,20,1,Middle Water,900
Victoria Harbour,VM1,1988/11/2,21,1,Middle Water,900
Victoria Harbour,VM1,1988/11/16,22,1,Middle Water,1400
Victoria Harbour,VM1,1988/11/30,23,1,Middle Water,500
Victoria Harbour,VM1,1988/12/14,24,1,Middle Water,300
Victoria Harbour,VM1,1988/12/28,25,1,Middle Water,1000
Victoria Harbour,VM1,1989/1/11,26,1,Middle Water,2300
Victoria Harbour,VM1,1989/1/25,27,1,Middle Water,7000
Victoria Harbour,VM1,1989/2/9,28,1,Middle Water,8400
Victoria Harbour,VM1,1989/2/22,29,1,Middle Water,6700
Victoria Harbour,VM1,1989/3/8,30,1,Middle Water,1900
Victoria Harbour,VM1,1989/3/22,31,1,Middle Water,8900
Victoria Harbour,VM1,1989/4/6,32,1,Middle Water,8000
Victoria Harbour,VM1,1989/5/3,33,1,Middle Water,7500
Victoria Harbour,VM1,1989/5/17,34,1,Middle Water,5100
Victoria Harbour,VM1,1989/6/1,35,1,Middle Water,1500
Victoria Harbour,VM1,1989/6/14,36,1,Middle Water,1300
Victoria Harbour,VM1,1989/6/28,37,1,Middle Water,3700
Victoria Harbour,VM1,1989/7/12,38,1,Middle Water,2100
Victoria Harbour,VM1,1989/7/26,39,1,Middle Water,820
Victoria Harbour,VM1,1989/8/8,40,1,Middle Water,500
Victoria Harbour,VM1,1989/8/23,41,1,Middle Water,1000
Victoria Harbour,VM1,1989/9/6,42,1,Middle Water,1200
Victoria Harbour,VM1,1989/9/20,43,1,Middle Water,1600
Victoria Harbour,VM1,1989/10/4,44,1,Middle Water,1200
Victoria Harbour,VM1,1989/10/18,45,1,Middle Water,200
Victoria Harbour,VM1,1989/11/1,46,1,Middle Water,3300
Victoria Harbour,VM1,1989/11/15,47,1,Middle Water,2000
Victoria Harbour,VM1,1989/11/29,48,1,Middle Water,12000
Victoria Harbour,VM1,1989/12/13,49,1,Middle Water,4200
Victoria Harbour,VM1,1989/12/27,50,1,Middle Water,4700
Victoria Harbour,VM1,1990/1/10,51,1,Middle Water,4300
Victoria Harbour,VM1,1990/1/23,52,1,Middle Water,600
Victoria Harbour,VM1,1990/2/7,53,1,Middle Water,1700
Victoria Harbour,VM1,1990/2/21,54,1,Middle Water,1000
Victoria Harbour,VM1,1990/3/7,55,1,Middle Water,800
Victoria Harbour,VM1,1990/3/21,56,1,Middle Water,600
Victoria Harbour,VM1,1990/4/4,57,1,Middle Water,1100
Victoria Harbour,VM1,1990/4/18,58,1,Middle Water,1000
Victoria Harbour,VM1,1990/5/2,59,1,Middle Water,300
Victoria Harbour,VM1,1990/5/16,60,1,Middle Water,3100
Victoria Harbour,VM1,1990/5/30,61,1,Middle Water,300
Victoria Harbour,VM1,1990/6/13,62,1,Middle Water,1800
Victoria Harbour,VM1,1990/6/27,63,1,Middle Water,2600
Victoria Harbour,VM1,1990/7/11,64,1,Middle Water,3100
Victoria Harbour,VM1,1990/7/25,65,1,Middle Water,4500
Victoria Harbour,VM1,1990/8/8,66,1,Middle Water,6900
Victoria Harbour,VM1,1990/8/22,67,1,Middle Water,4100
Victoria Harbour,VM1,1990/9/5,68,1,Middle Water,3900
Victoria Harbour,VM1,1990/9/18,69,1,Middle Water,4000
Victoria Harbour,VM1,1990/10/1,70,1,Middle Water,8500
Victoria Harbour,VM1,1990/10/17,71,1,Middle Water,2800
